Zip code,PHA,Number of vouchers
85301,Glendale,620
85041,Phoenix,568
85015,Phoenix,463
85201,Mesa,429
85008,Phoenix,418
85251,Scottsdale,330
85040,Phoenix,328
85021,Phoenix,320
85339,Phoenix,264
85006,Phoenix,259
85323,Maricopa County,248
85203,mesa,241
85034,Phoenix,222
85051,Phoenix,215
85007,Phoenix,196
85014,Phoenix,192
85037,Phoenix,190
85017,Phoenix,186
85019,Phoenix,185
85029,Phoenix,179
85204,Mesa,179
85303,Glendale,178
85205,Mesa,176
85345,Maricopa County,170
85257,Scottsdale,166
85035,Phoenix,165
85032,Phoenix,163
85043,Phoenix,152
85202,Mesa,149
85020,Phoenix,146
85207,Mesa,143
85018,Phoenix,139
85003,Phoenix,132
85304,Glendale,131
85306,Glendale,129
85210,Mesa,128
85033,Phoenix,127
85326,Maricopa County,114
85302,Glendale,108
85013,Phoenix,105
85353,Phoenix,103
85009,Phoenix,101
85206,Mesa,87
85335,Maricopa County,85
85053,Phoenix,78
85042,Phoenix,78
85023,Phoenix,73
85031,Phoenix,71
85016,Phoenix,71
85374,Maricopa County,55
85208,Maricopa County,53
85213,Mesa,51
85086,Phoenix,48
85022,Phoenix,46
85208,Mesa,45
85378,Maricopa County,42
85048,Phoenix,39
85027,Phoenix,38
85212,Mesa,37
85392,Maricopa County,36
85382,Maricopa County,34
85338,Maricopa County,34
85307,Maricopa County,33
85353,Maricopa County,32
85281,Maricopa County,29
85363,Maricopa County,29
85375,Maricopa County,29
85259,Scottsdale,23
85379,Maricopa County,22
85085,Phoenix,22
85296,Maricopa County,21
85207,Maricopa County,20
85254,Scottsdale,20
85212,Maricopa County,20
85205,Maricopa County,19
85390,Maricopa County,18
85381,Maricopa County,18
85340,Maricopa County,16
85388,Maricopa County,15
85305,Glendale,15
85120,Maricopa County,13
85209,Mesa,13
85250,Scottsdale,12
85396,Maricopa County,12
85012,Phoenix,11
85233,Maricopa County,11
85297,Maricopa County,11
85004,Phoenix,10
85260,Scottsdale,10
85215,Mesa,9
85044,Phoenix,9
85308,Phoenix,9
85024,Phoenix,9
85234,Maricopa County,9
85345,Glendale,8
85283,Maricopa County,8
85351,Maricopa County,7
85304,Phoenix,7
85295,Maricopa County,7
85258,Scottsdale,6
85210,Maricopa County,5
85204,Maricopa County,5
85310,Phoenix,5
85387,Maricopa County,4
85308,Glendale,4
85083,Phoenix,4
86363,Maricopa County,4
85373,Maricopa County,3
85355,Maricopa County,3
85142,Maricopa County,3
85220,Maricopa County,3
85209,Maricopa County,2
85395,Maricopa County,2
85028,Maricopa County,2
85298,Maricopa County,2
85346,Maricopa County,1
85325,Maricopa County,1
85357,Maricopa County,1
85321,Maricopa County,1
85347,Maricopa County,1
85301,Maricopa County,1
85322,Maricopa County,1
85337,Maricopa County,1
85202,Maricopa County,1
85307,Glendale,1
85307,Phoenix,1
85306,Phoenix,1
85213,Maricopa County,1
85254,Phoenix,1
85028,Phoenix,1
85050,Phoenix,1
85086,Maricopa County,1
85045,Phoenix,1
85252,Scottsdale,1
85261,Scottsdale,1
85211,Maricopa County,1
85293,Maricopa County,1
85343,Maricopa County,1
85391,Maricopa County,1
85393,Maricopa County,1
85281,Tempe,445
85282,Tempe,304
85283,Tempe,114
85284,Tempe,7